id,adult,original_language,status,video,part_of_collection,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,company_1,company_2,company_3,company_4,country_1,country_2,country_3,country_4,language_1,language_2,language_3,language_4
791373,False,en,Released,False,0,Action,Adventure,Fantasy,Science Fiction,,,Warner Bros. Pictures,The Stone Quarry,Atlas Entertainment,DC Films,United States of America,,,,English,,,
399566,False,en,Released,False,1,Action,Science Fiction,,,,,Warner Bros. Pictures,Legendary Pictures,,,United States of America,,,,English,,,
581389,False,ko,Released,False,0,Drama,Fantasy,Science Fiction,,,,Bidangil Pictures,Merry Christmas,Netflix,,South Korea,,,,Arabic,Mandarin,Korean,Danish
527774,False,en,Released,False,0,Animation,Adventure,Fantasy,Family,Action,,Walt Disney Pictures,Walt Disney Animation Studios,,,United States of America,,,,English,,,
793723,False,fr,Released,False,0,Thriller,Action,Drama,,,,Labyrinthe Films,Netflix,,,France,,,,French,,,
458576,False,en,Released,False,0,Fantasy,Action,Adventure,,,,CAPCOM,Constantin Film,Impact Pictures,Tencent Pictures,Germany,Canada,China,United States of America,English,,,
587807,False,en,Released,False,0,Action,Comedy,Family,,,,Warner Animation Group,Warner Bros. Pictures,Turner Entertainment,The Story Company,United States of America,,,,English,,,
464052,False,en,Released,False,1,Fantasy,Action,Adventure,,,,DC Entertainment,Warner Bros. Pictures,The Stone Quarry,DC Films,United States of America,,,,English,,,
587996,False,es,Released,False,0,Action,Crime,Thriller,,,,Morena Films,Amorós Producciones,ICEC,TVE,Spain,,,,Spanish,,,
544401,False,en,Released,False,0,Crime,Drama,,,,,AGBO,The Hideaway Entertainment,,,United States of America,,,,English,,,
686487,False,en,Released,False,0,Science Fiction,Action,Adventure,Fantasy,,,"Toho Company, Ltd.",Universal International Pictures,,,Japan,United States of America,,,English,,,
775996,False,en,Released,False,0,Thriller,Action,Science Fiction,,,,Inspire Entertainment,Automatik Entertainment,Pioneer Stilking Films,Leeding Media,United States of America,,,,English,Turkish,,
649087,False,sv,Released,False,0,Drama,Thriller,,,,,Film i Dalarna,SF Studio,Netflix,,Sweden,,,,Swedish,,,
522444,False,en,Released,False,1,Horror,Thriller,Adventure,Mystery,,,Altitude Film Sales,Cornerstone Pictures,ProdigyMovies,,United States of America,,,,English,French,Russian,Spanish
651571,False,en,Released,False,0,Science Fiction,Action,,,,,308 Enterprises,Almost Never Films,Aloe Entertainment,,Canada,United States of America,,,English,,,
373571,False,en,Released,False,1,Science Fiction,Action,,,,,Legendary Pictures,Warner Bros. Pictures,Huahua Media,"Toho Company, Ltd.",China,Japan,United States of America,,Mandarin,English,Japanese,
602269,False,en,Released,False,0,Thriller,Crime,,,,,Warner Bros. Pictures,Gran Via Productions,,,United States of America,,,,English,,,
664767,False,en,Released,False,0,Fantasy,Action,Adventure,Animation,,,Warner Bros. Animation,NetherRealm Studios,,,United States of America,,,,English,,,
755812,False,fr,Released,False,0,Animation,Family,,,,,,,,,,,,,French,English,,
590706,False,en,Released,False,0,Fantasy,Action,Science Fiction,,,,Acme Rocket Fuel,Green Olive Films,Double Tree Entertainment,,Cyprus,United States of America,,,English,,,
484718,False,en,Released,False,1,Comedy,,,,,,Paramount,New Republic Pictures,Eddie Murphy Productions,Misher Films,United States of America,,,,English,,,
581387,False,ko,Released,False,0,Action,Adventure,Thriller,,,,Dexter Studios,CJ Entertainment,Perfect Storm Film,Dexter Pictures,South Korea,,,,English,Korean,,
529203,False,en,Released,False,1,Family,Fantasy,Animation,Comedy,,,Universal Pictures,DreamWorks Animation,,,United States of America,,,,English,,,
560144,False,en,Released,False,1,Science Fiction,Action,,,,,Mirabelle Pictures Productions,Artbox,Fasten Films,Media Finance Capital,France,Lithuania,United Kingdom,,English,,,
630586,False,en,Released,False,0,Horror,Thriller,,,,,Constantin Film,The H Collective,Tea Shop & Film Company,,Germany,United Kingdom,United States of America,,English,,,
604822,False,zh,Released,False,0,Action,Adventure,Crime,,,,China Film (Shanghai) International Media Co.,China Film Group Corporation,Epitome Capital,Shanghai Lix Entertainment,China,,,,English,Mandarin,Hindi,
508442,False,en,Released,False,0,Family,Animation,Comedy,Drama,Music,Fantasy,Walt Disney Pictures,Pixar,,,United States of America,,,,,,,
495764,False,en,Released,False,1,Action,Crime,,,,,DC Entertainment,LuckyChap Entertainment,Kroll & Co Entertainment,Warner Bros. Pictures,United States of America,,,,English,Turkish,,
607383,False,en,Released,False,0,Horror,Comedy,,,,,Rockzeline,La Guérilla,,,Canada,France,,,English,Dutch,,
539885,False,en,Released,False,0,Action,Crime,Drama,Thriller,,,Freckle Films,Voltage Pictures,Vertical Entertainment,,United States of America,,,,English,French,German,
613504,False,en,Released,False,1,Romance,Drama,,,,,Voltage Pictures,Offspring Entertainment,Frayed Pages Entertainment,Wattpad,United States of America,,,,English,,,
553604,False,en,Released,False,0,Thriller,Action,Crime,Drama,,,The Solution,Briarcliff Entertainment,Dreadnought Films,Zero Gravity Management,Thailand,United States of America,,,English,,,
786300,False,en,Released,False,0,Horror,Fantasy,Drama,TV Movie,,,Blumhouse Television,,,,United States of America,,,,English,,,
799497,False,pt,Released,False,0,Action,Comedy,Crime,,,,Netflix,,,,Brazil,,,,Portuguese,,,
595813,False,en,Released,False,0,Comedy,,,,,,Gloria Sanchez Productions,Lionsgate,,,United States of America,,,,English,,,
38700,False,en,Released,False,1,Thriller,Action,Crime,,,,Columbia Pictures,Platinum Dunes,2.0 Entertainment,Don Simpson/Jerry Bruckheimer Films,United States of America,,,,English,Spanish,,
577922,False,en,Released,False,0,Action,Thriller,Science Fiction,,,,Syncopy,Warner Bros. Pictures,,,United Kingdom,United States of America,,,English,,,
609242,False,es,Released,False,0,Comedy,Thriller,Crime,,,,Viacom International Inc.,Telefe,AZ Films,MarVista Entertainment,Argentina,,,,Spanish,,,
124905,False,en,Released,False,1,Action,Drama,Science Fiction,,,,RatPac-Dune Entertainment,"Toho Company, Ltd.",Disruption Entertainment,Warner Bros. Pictures,Japan,United States of America,,,English,Japanese,,
638597,False,en,Released,False,0,Comedy,Family,,,,,Entertainment 360,Grey Matter Entertainment,Netflix,,United States of America,,,,Spanish,English,,
596247,False,es,Released,False,0,Drama,Thriller,,,,,Storyboard Media,Calibre 71,,,Chile,,,,Spanish,,,
599281,False,en,Released,False,0,Thriller,Horror,Drama,,,,Pinstripe Productions,Sweet Tomato Films,Zero Gravity Management,Hungry Bull Productions,United States of America,,,,English,,,
475557,False,en,Released,False,0,Crime,Thriller,Drama,,,,Warner Bros. Pictures,Joint Effort,Village Roadshow Pictures,Bron Studios,Canada,United States of America,,,English,,,
338762,False,en,Released,False,1,Action,Science Fiction,,,,,Sony Pictures,Cross Creek Pictures,Mimran Schur Pictures,Original Film,China,United States of America,,,English,,,
682254,False,en,Released,False,0,Animation,Comedy,Family,Mystery,Adventure,,Hanna-Barbera Productions,Warner Bros. Animation,Warner Bros. Home Entertainment Group,,United States of America,,,,Swedish,English,,
531499,False,en,Released,False,0,Action,Crime,Drama,,,,Cross Creek Pictures,Cedar Park Entertainment,Faster Horse Pictures,Kodiak Pictures,United States of America,,,,Spanish,English,,
520946,False,ar,Released,False,0,Family,Animation,Fantasy,,,,Flying Bark Productions,Screen Australia,ScreenWest,ReDefine (Animation Studio),Australia,Belgium,,,English,,,
666750,False,en,Released,False,1,Fantasy,Action,Adventure,,,,Universal Pictures,,,,United States of America,,,,German,English,French,
737568,False,en,Released,False,0,Action,Thriller,,,,,Double Dutch International,Smash Media,Anamorphic Media,CR8IV DNA,United States of America,,,,English,,,
